number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
26,PRUNED,0.151705917716,2026-03-04T13:03:07.329475,2026-03-04T13:04:14.346965,67.01749,60,3418.7816937821126,"{""fold_scores"": {""1"": 0.15038767457008362, ""2"": 0.12311702966690063, ""3"": 0.12509119510650635, ""4"": 0.12917546927928925, ""5"": 0.23075821995735168}, ""pruned_after_fold"": 5}"
27,COMPLETE,0.154895082116,2026-03-04T13:04:14.362465,2026-03-04T13:05:34.664973,80.302508,40,92685.03203804378,"{""fold_scores"": {""1"": 0.1580430269241333, ""2"": 0.1325669139623642, ""3"": 0.13020507991313934, ""4"": 0.13452781736850739, ""5"": 0.2408503144979477, ""6"": 0.13317734003067017}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.20900106430054}"
28,COMPLETE,0.154971013467,2026-03-04T13:05:34.683030,2026-03-04T13:06:54.991701,80.308671,35,84670.07660223005,"{""fold_scores"": {""1"": 0.15812867879867554, ""2"": 0.13216835260391235, ""3"": 0.13030385971069336, ""4"": 0.1346261352300644, ""5"": 0.2412911057472229, ""6"": 0.13330794870853424}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.21198391914368}"
29,PRUNED,0.149991515279,2026-03-04T13:06:55.007022,2026-03-04T13:08:02.050785,67.043763,35,1674.7621327819504,"{""fold_scores"": {""1"": 0.14812585711479187, ""2"": 0.12153438478708267, ""3"": 0.12383971363306046, ""4"": 0.1278981864452362, ""5"": 0.2285594344139099}, ""pruned_after_fold"": 5}"
30,PRUNED,0.148146742582,2026-03-04T13:08:02.068848,2026-03-04T13:09:09.177926,67.109078,155,372.0624591424662,"{""fold_scores"": {""1"": 0.14611351490020752, ""2"": 0.11965184658765793, ""3"": 0.12257734686136246, ""4"": 0.1267213374376297, ""5"": 0.22566966712474823}, ""pruned_after_fold"": 5}"
31,COMPLETE,0.156706618766,2026-03-04T13:09:09.195381,2026-03-04T13:10:29.845850,80.650469,30,82533.75230159162,"{""fold_scores"": {""1"": 0.1615099310874939, ""2"": 0.13841059803962708, ""3"": 0.1323133260011673, ""4"": 0.13454771041870117, ""5"": 0.2413366436958313, ""6"": 0.1321215033531189}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.55560493469238}"
32,COMPLETE,0.156168180207,2026-03-04T13:10:29.864707,2026-03-04T13:11:50.250651,80.385944,30,35562.569559397256,"{""fold_scores"": {""1"": 0.16142529249191284, ""2"": 0.13612255454063416, ""3"": 0.13218605518341064, ""4"": 0.13391846418380737, ""5"": 0.24124109745025635, ""6"": 0.13211561739444733}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.28290343284607}"
33,COMPLETE,0.154038776954,2026-03-04T13:11:50.269304,2026-03-04T13:13:11.474568,81.205264,50,23239.368540243715,"{""fold_scores"": {""1"": 0.15749600529670715, ""2"": 0.12977543473243713, ""3"": 0.1298479437828064, ""4"": 0.13389918208122253, ""5"": 0.23967254161834717, ""6"": 0.1335415542125702}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.10770010948181}"
34,COMPLETE,0.156272098422,2026-03-04T13:13:11.489494,2026-03-04T13:14:31.545265,80.055771,25,36553.428335822704,"{""fold_scores"": {""1"": 0.15842992067337036, ""2"": 0.13606736063957214, ""3"": 0.13308915495872498, ""4"": 0.13225272297859192, ""5"": 0.24558985233306885, ""6"": 0.1322035789489746}, ""objective_metric"": ""median_r"", ""trial_seconds"": 79.9640622138977}"
35,PRUNED,0.156758189201,2026-03-04T13:14:31.560668,2026-03-04T13:15:38.195815,66.635147,25,9286.561710659842,"{""fold_scores"": {""1"": 0.15327918529510498, ""2"": 0.13019633293151855, ""3"": 0.13009321689605713, ""4"": 0.1290052831172943, ""5"": 0.24121692776679993}, ""pruned_after_fold"": 5}"
36,PRUNED,0.150518199801,2026-03-04T13:15:38.211052,2026-03-04T13:16:45.340806,67.129754,45,2125.330295855284,"{""fold_scores"": {""1"": 0.14888212084770203, ""2"": 0.12196237593889236, ""3"": 0.1242007240653038, ""4"": 0.12853389978408813, ""5"": 0.2290118783712387}, ""pruned_after_fold"": 5}"
